month,systemic_correlation_stress,breadth_dispersion_stress,volume_stress,tail_shape_stress,sector_linkage_stress,index_volume_proxy_stress
2011-06,-0.425722914671201,-0.13570421744817862,0.5122000452309312,-0.674924862923531,-1.3427567375944929,0.09113821972704088
2011-07,-0.648650564926272,-0.41001826995281476,0.3832214135883424,-1.0267153321524178,-1.6323697581234817,0.031844415843264993
2011-08,-0.5849720406632245,0.3142997865921754,0.46500064294662985,-0.9965149252781954,-0.9790965061256213,0.4954339949856253
2011-09,0.5876530480953653,0.1117869727034756,1.343269913344896,0.4570486782845539,0.5212636119307668,0.840794208207063
2011-10,1.7243911688307456,1.0825745118525716,0.21050181324194392,-0.3354578729372804,1.2011410450563236,-0.11736720345892987
2011-11,-0.10040197404027318,-0.5474349090189037,-0.4074953514585317,-0.5188761962463602,1.1554736023382615,0.09539770822534684
2011-12,1.2734180335875591,-0.4602541263378723,0.22583314946576163,-0.2537972783976454,1.3567541168494108,0.07636417737822103
2012-01,0.7888273771095329,0.13429123327905296,-0.02952225826045779,-0.43902034250299327,1.106469925726343,-0.5120522313838137
2012-02,-0.7806525890215958,0.0017727091008527818,-0.45869172509386213,-0.30850155212535385,1.0985428613293842,-0.2880420090096023
2012-03,-1.610676864894689,-0.08673146533633763,-0.23112132392817303,-0.45439333863913295,0.4082426906299205,0.1584813758477764
2012-04,-1.10869293426015,0.10724353102104349,0.28753693590124557,-0.8819268282884626,-0.8399277687090817,0.03603645994312769
2012-05,-1.3405027816108772,0.4295278728541727,-0.21596467374438746,-0.8362593034201128,-1.2288173192525764,-0.4660285778855385
2012-06,0.10569404530114467,-0.4040417372654853,0.2650412773932587,0.420438771840178,-0.271624160672979,-0.08409921937708671
2012-07,0.0708049131259218,-0.7320563199446625,0.059097407352695114,0.09688923424170792,0.32043765865494517,-0.10601449259681921
2012-08,0.26104659688254167,-0.24470987945705025,-0.03082594024239395,-0.11853866814853231,0.6160834797713666,-0.12905241792084052
2012-09,-0.5063263529987215,-0.395598070146849,0.576645628371368,-0.7182095328746687,0.5924901710780944,0.6376606901451796
2012-10,-0.24960635241870852,-0.5507547658375305,0.36891127090465275,-1.011762410881648,0.49286454306960353,0.6988276042292844
2012-11,-1.7832094133119953,0.2837400375760484,0.31743339362736045,-0.9978407489846784,-0.18810596624296202,-0.10419169290627768
2012-12,-1.3787410862831413,-0.48712289468545034,0.1529316516808045,-1.0079299081248,-0.7440738659195545,0.07715328522929975
2013-01,-1.676883193374853,-0.3780719431467989,-0.6023428356947322,-0.9941639272830498,-1.9226256035500968,-0.23712176567320156
2013-02,-1.2405959897268144,-0.07540961074960165,1.4086647159404588,-1.5756850752593172,-2.186940470882636,1.3017196363715053
2013-03,-0.603546335523461,-0.04164730747148998,-0.2530394727354583,-1.6510344645876633,-2.0268145132716273,-0.37738216439635347
2013-04,-0.7162547733976091,-0.6755451747794282,-0.30176237937814,-1.1170601088033225,-1.2877420060673146,-0.49544548627749335
2013-05,-0.9298561892698505,-0.22824311213847828,0.5287741696475703,-0.6688411865062398,-0.7370469938369575,0.2679321513466582
2013-06,-0.5575999760864498,-0.36342967678370314,-0.17739067776631456,-0.49000544149978714,-0.6775559754385823,0.13881273728293345
2013-07,0.46059047577801865,-0.19981504197784933,0.7502629037581827,-0.6446979662715716,-0.20618809037917207,0.3942003225379696
2013-08,-0.2826163765321556,-0.7003340064955137,0.3481488021123706,-0.7872323145056374,-0.049813699959350234,0.39139405877764705
2013-09,-0.29196813341474054,-0.013047984727496853,0.08186333152754956,-0.8339920298958182,0.25191227030613,0.052413681716902166
2013-10,-1.1629567663877578,-0.7919062244083768,-0.38228639780991325,-0.6086330185507296,-0.06592370487137038,-0.032534211226147934
2013-11,-0.833987532118948,-0.818198050294912,-0.8168328079152591,-0.5347194306472166,-0.5250393692689114,-0.7780801920266018
2013-12,0.10414242465870516,-0.3705763425775801,-0.4609250555827618,-0.39765798091270527,-0.107974145515333,-0.5992404168694906
2014-01,-0.36346164624292804,-0.8003495706299557,0.006010345026469133,-0.6815052850371548,-0.07240478721286157,-0.2167220559139544
2014-02,-0.021136472168896026,0.3023476542074173,0.676337055165312,0.32772454774938126,-0.08416314076740461,0.6172075295333735
2014-03,-0.049566001372206826,-0.8506927296171187,-0.31944298378340125,0.7671957210843585,-0.47529334532048373,-0.10527658511674558
2014-04,-0.005243520063166122,-0.6366479940995,-0.08247160546955903,0.55560611648669,-0.39974655749473786,-0.21921600296738294
2014-05,-0.5038062075542914,-0.16745871960573602,-0.03851582677222261,0.4361215022970694,-0.21616264587315723,-0.18993217075072014
2014-06,0.20491298363261468,-0.3623398750014353,0.6764928339945169,0.37720248506595677,-0.3351160462588827,0.8597938425544044
2014-07,0.1633003462780878,-0.5402074755067712,0.3152373448477264,0.2026468063394183,-0.34839182168667127,0.15929888844991688
2014-08,-1.6476087733464346,0.5666330177509038,0.6067785958844949,-0.2776958388622463,-1.0476537479120496,1.0724399661515462
2014-09,-0.9502491326664323,0.10671336955195118,0.03323877563698335,-0.09754415673442185,-1.1147526547527307,0.08022217947077975
2014-10,-1.2036074712779998,0.39526106231304564,0.5687532590134268,-0.2588275860156993,-2.0911269714113194,0.25849067593744646
2014-11,-0.719103485600915,0.3803653577628859,0.796378638040887,-0.7048769690840427,-1.3428269685586836,0.4185306460702278
2014-12,-1.630175456054331,-0.1461698854530104,0.0682601108969037,-0.6577823465420557,-2.105112956480102,0.1539310628314852
2015-01,-0.5526418496242224,0.14424806009620744,-0.047702412585798354,-0.6676749627116308,-1.1968686237812716,-0.4018156864388233
2015-02,-0.6584755652854941,-0.13813861982755923,0.6296960602468742,-0.18901286501188866,-1.2158851167521227,0.7427106556981209
2015-03,-1.0574375752695018,0.42133496755171246,0.4058145513879007,0.13560991400718445,-0.6296799366795891,0.6045612309090577
2015-04,-0.8708166661869495,0.3590257988275508,0.03672594110145058,0.13839283934369653,-1.5611774365888689,0.2918698647004926
2015-05,-1.3093922724502294,0.0779226451879407,0.4218924501215672,-0.18987617574982144,-1.907839322877928,0.9636258158212948
2015-06,-0.39152187456119,0.5243469465015862,0.5152733934784998,0.2495685638773106,-1.5933973288456613,0.45129755067330346
2015-07,-0.5158000736733548,0.9677462493638964,0.13222466928436974,-0.02519387246961689,-0.9958318171045454,-0.15111918627678725
2015-08,-0.3942499053524451,1.2473144257269442,0.8261775221996364,0.531339835443692,-1.0951591331907802,0.768162474864976
2015-09,0.495437276502617,-0.07759596008634007,0.3586088281399735,0.4697643721780687,-0.49088754920318145,-0.008384464490926261
2015-10,1.5094820447814712,0.3385993705008339,-1.5411593661547056,-0.13661553137082574,-0.11839772082658506,-1.7108215338224848
2015-11,-0.9124910728715411,0.23752405291648188,-0.455933896152193,-0.12156094409874206,-0.07260509662284136,-0.21912379750184965
2015-12,0.07654460095482167,-0.28262307340638754,-0.35851682907540483,-0.09077122918254599,0.149955886964385,-0.26039832918421196
2016-01,0.6037333531418547,0.17832868184826883,0.0331318155288397,-0.3097885989133536,0.05986391755345439,-0.2294734446602873
2016-02,0.5771702039583231,0.48924502292103766,1.0174121916631063,-0.2471720998063902,0.8161635846113094,1.0617404838605287
2016-03,0.2875087781730777,0.2220767909603212,-0.5616484740529492,0.176379768127504,0.7402321149321648,-0.26382601544586853
2016-04,-0.5771212884874816,-0.7867244228549894,-0.5260427831002709,1.0763164489322337,0.49305128306034457,-0.03563621307535055
2016-05,-0.6654928385153367,-0.08563335243259997,0.9346865848363617,1.6003754278652547,-0.0035627193296232837,1.0128877258430624
2016-06,-0.47516681082116236,-0.4108930088350702,0.332265536352721,0.2807290040544781,-0.5161356490957449,-0.07193581044513182
2016-07,1.8006055598079242,0.17233813327735736,-0.7734186292146147,2.2413586879033187,0.38738357066728596,-0.8145285083720917
2016-08,0.2011027006553968,-0.05873462979895344,-0.6227035684106252,2.590769634076982,0.4699310454217635,-0.531620990720621
2016-09,-1.0470198431946887,-0.13930004891535394,-0.5072555739541647,2.5908664183625736,0.18655703481833844,-0.5575284641886814
2016-10,-0.16058776781927356,-1.0716482148977606,-0.8002049716246709,2.6208772091976287,-1.02974560763326,-0.5148423609778946
2016-11,0.1078311059881271,0.6089316253334798,-0.509784468776266,2.1961485845940665,-1.473014646077863,-0.5337306275608276
2016-12,-0.053223112386030724,0.19575994568727084,0.25387136073255334,1.5755527919344823,-0.5836201330235422,0.1023440537811552
2017-01,-0.20260637589398292,-0.4887385677528203,-0.5341589514954661,0.7543629116118291,-0.301449521219588,-0.5943203969821301
2017-02,-0.8946174386113933,0.052212615861890674,-0.8393136782489381,0.5862304470266704,-0.17546757584890008,-0.3459631955190483
2017-03,-0.5284176615979443,-0.5822083999905258,0.6086625337244312,0.23343304983558003,-1.2213848025781295,0.9064787419084114
2017-04,-0.6601870939967631,-0.4412942142946634,-0.7869936697604695,-0.44470478487878373,-1.5306135035352553,-0.44293354461791773
2017-05,0.08093151088662215,-0.6964035085782844,-0.3170457952230924,-0.8151498730813241,-1.2697685669870118,-0.09923285460500386
2017-06,-0.426106924370418,-1.6226511525479559,0.19346424356980935,-1.031486899713218,-0.5118788289138283,0.7553565647902984
2017-07,-0.9669652365467365,0.02672311977087946,0.09381802844162807,-0.6383276506887469,-0.41881618020151884,0.605984545412343
2017-08,-1.262678680019436,0.8556956504479087,-0.8349198210684231,0.49413164084682365,-0.3856239289067726,-0.47710627253173876
2017-09,-0.100064002386039,-0.355521189839638,-0.7518349679443819,1.2823430933605928,-0.2165364166850562,-0.9819405153980242
2017-10,-0.22856253612554608,0.08258714821569427,0.04664624647190918,0.8370623563637271,-0.02819636841945052,-0.16373441397165275
2017-11,-1.097881024670925,-0.3450395553049157,-0.2734766168623417,0.4196121862411113,-0.05267397993624171,0.06178432994702839
2017-12,-1.4544468923222738,-0.23192966981597318,0.6326078089979636,0.09745800415768963,-1.2115927760286642,0.4714984373439282
2018-01,-0.4854079319094063,0.30890312166807593,-0.21144685256399504,0.5359063312620004,-1.20769520059906,-0.32011019272835495
2018-02,-0.8432892636741406,0.10194512907527986,0.10127773047532564,0.21741109374894171,-1.0972282843610508,0.27389307746316627
2018-03,1.5048054525296697,-0.034115754997630116,0.05062780545187123,0.20544275409421697,-0.15582689874652164,-0.33714763426028593
2018-04,1.675442851829696,-0.08318313974495165,-1.0184270321671243,0.8794749138273256,0.3578618347343025,-0.7499151046396583
2018-05,-1.382899220082112,-0.08175999733332245,0.2082596755366209,0.7734556508499781,0.46858301312379674,0.1805353880171839
2018-06,-0.9636425377571826,0.8085355396267954,1.3056430083849118,1.2952956499436845,0.01246080707793777,1.3554941312902589
2018-07,0.6465127384450301,0.4055702419681609,0.09873292710805198,0.1647250408803079,-0.17585107148811005,-0.1849318361676167
2018-08,0.3286534335075146,0.26613170171021305,-0.6549678592718958,0.5865416090224111,0.08743551154921507,-1.1536931968313244
2018-09,0.02581020124698527,-0.3108455314157772,-1.4318621931675377,0.7558942812603249,0.5588179387926783,-1.3129741396536145
2018-10,-0.7050284726346884,-0.47126883129047725,0.10365534611788055,0.6239887405558057,0.1742507345409782,0.4145401236988175
2018-11,1.6171280310189753,0.9959959957692298,2.074156265577812,2.6744547282799505,0.6542700346962956,1.4836011459469827
2018-12,0.7842653572227908,-0.31073136544896995,-0.40540536404683614,1.5545540282029418,0.8617680680418651,-0.5849959655413582
2019-01,0.455139314053856,0.3583308569026693,0.18207381926790017,0.7600007231364373,0.8554184775325169,-0.2426905811726295
2019-02,0.45758136818000555,-0.6436774191702028,-0.37483355805308705,-0.5937227008033571,0.6741914496555056,0.24669975246525366
2019-03,-0.8324314911757442,-1.0025597152755756,-0.3908621895088178,-0.5978896548332174,0.1807652061465446,-0.11313364310280953
2019-04,0.7926459902467888,0.18953451973352184,-0.34373327243523777,-0.39212975850823445,0.30404399893005657,-0.40441074537402133
2019-05,0.728947436994646,-0.42530882854856833,-0.7915925649937606,-0.754856703165208,0.7419868138330777,-0.7720808824205875
2019-06,1.6350241974856248,0.07617088922285722,0.43498428883478957,0.5795918917212205,1.054258747883213,0.08037440163700527
2019-07,0.310470464020556,-0.4124334809202925,-0.35012064473435,1.0464753595069662,1.1053490121017229,-0.4717178944251312
2019-08,1.9842661256702196,0.6268348930818511,0.44277515684866386,0.9559147779332804,1.1191135794652893,0.25720276736395187
2019-09,2.056010139800129,-1.0780482563296085,0.43397840125703074,-0.06909705235510848,1.2144269354027768,0.37276570794829894
2019-10,0.49419233308655275,-0.39315338754239326,-1.7034512071032293,0.02284063561397624,1.1654042947869359,-1.4056617892957248
2019-11,0.7830774413342841,0.19249683034037654,-0.5141401037208855,0.04923531308127312,1.060238003467364,-0.41356126369857277
2019-12,0.6555944166925175,-0.5112502264411048,0.6043358023018222,-0.13897827531154036,0.9751307358748074,0.6119330930233303
2020-01,-0.5411521713492493,-0.14777029212073572,-0.6099791587379015,-0.34772622942047887,0.45460024230094725,-0.3529710289001396
2020-02,1.9441429376500252,0.7011726833384506,0.5143677912092711,0.22806859002935095,0.7945335527685224,0.7586458203209318
2020-03,2.0320178371784148,1.4337307416594958,1.7593879546493716,0.5155740721837146,1.3860335469860698,1.8251408955907642
2020-04,3.082162402483496,1.9353455393860646,2.1239797286494912,-0.7970208265577448,2.267945305064719,1.7255477083849484
2020-05,1.1129350242912912,-0.40430595256769286,-0.007969484764473955,-0.84695484545342,2.0457308643245136,0.16429310740337355
2020-06,-0.0232295442931979,0.052044522101418134,-0.8665818228220893,-0.7220534954515277,1.8722081724139894,-0.27403184326559266
2020-07,2.473488738134006,1.0140580989494008,-0.8001767186437339,-0.5211439217011133,1.323727405355305,-0.18864967686794443
2020-08,-0.24148988310912242,-0.3595724407549665,-0.2391674566004434,-0.0944908550033905,1.299662575764561,-0.10115871933195579
2020-09,0.7980982464455795,0.19724591349356413,-0.689928533240401,0.08460832728180219,1.5049226185349813,-0.1168640126237687
2020-10,1.630589358950777,-0.3804461475060045,-0.42733636424343613,0.244678443599979,0.9280052449648895,-0.3681228583123257
2020-11,0.6448143842588996,0.5031541307197605,-0.8386910134327212,0.3207630720820143,0.8069067420623212,-1.0721213117778186
2020-12,0.33087069199918334,-0.40537299954817724,-0.7452801921431798,-0.28896189823402824,0.3239116947060262,-0.042717428375416144
2021-01,-0.5261330241574481,0.4081211765023861,-0.007957591372814266,-0.1430080072300992,-0.20534344805757218,0.5169695568085371
2021-02,1.4091736386449467,1.1559887418858281,0.3311670088619941,-0.6136384122096801,-0.09742927790922823,0.8032719868489613
2021-03,1.5922086412169472,0.6264548796878953,0.4031809831209064,-1.0522841448346176,0.17270822452873436,0.2058723803362894
2021-04,-0.7661270102569095,-0.3402154529174195,0.2931542209527511,-1.112598210744028,0.00021398207652639778,-0.16601232567533364
2021-05,-0.7961723270210436,0.8786575480405686,-0.26776354855842566,-0.7497798698556849,0.3646786713730686,-0.19257459805077262
2021-06,-0.3624442874865839,-0.4870894769135746,0.7256498669952306,-0.5792124506679084,-0.8062799097332277,0.5653045087395645
2021-07,-1.2393835090958822,-0.9384799780317536,-0.021371372207642764,-0.6828647110749461,-0.8298828816576468,0.2683554384067585
2021-08,0.8260162962029066,0.18287984273739288,-0.4605109516221012,-0.7458896615254685,0.06017651247264268,-0.9031789622504203
2021-09,1.1099027027685051,-0.3405425054446205,0.32591878124459417,-0.673830457776765,0.5207338227019404,-0.23421641522361494
2021-10,-0.9611091225114888,1.0437232483250123,0.03755339392819336,-0.7374200175708466,0.2790553461959069,-0.15428512720251206
2021-11,0.32634160171707327,0.5494278707822773,0.2993276479686842,-0.8312714064999316,0.33495439829269985,-0.14337574348826662
2021-12,0.23583356294458654,0.6798702536562578,0.845887576891093,-0.9175394383009001,0.1700424864037601,0.46296229835819674
2022-01,0.23401152091735403,-0.6117164735715444,-1.102526144306435,-0.8377010503548806,0.7888022805407574,-1.1197063825445663
2022-02,0.8738449194401668,1.1888002311682604,1.1079458168203735,-0.5308500113948967,0.5374441190662007,0.5985744282976316
2022-03,1.7813409670574967,0.3829149239660462,0.3690943873923658,-0.45155771885974777,0.6495122529134095,0.1705456904382161
2022-04,0.18155175337175966,-0.8700870214837917,0.4140681453188786,-0.5305898076305677,0.5832841651956086,0.19417791360469147
2022-05,-0.09065568198158418,0.2131576052822842,0.4564179689880244,-0.4633682657564062,0.6550387826447209,0.3032870271798541
2022-06,-0.08078899106452697,-0.5021473530328856,0.7223067946535814,-0.8894836980647978,0.2970976470438916,0.45503793125006653
2022-07,1.9696197549389292,0.14831729740308525,-0.011939164497075216,-0.4619883611305262,0.9237875741411196,-0.4801467537281077
2022-08,0.39719869247212336,-1.011819261013715,-0.8712448406489285,-0.38333444856119314,1.222523337469673,-0.9806921132732968
2022-09,0.36889050077583735,-0.38045769457093737,-0.1962818079492704,-0.2200295975144783,1.4984937250823265,-0.14003238596618164
2022-10,1.3823048923113255,0.8682617938826929,0.9924798403454129,-0.5677911212046027,1.3270025990016099,0.5300717476810902
2022-11,1.0227968430836312,-0.6366853865963505,-0.09903657412462222,-0.6285230364066943,1.1555147231070915,-0.2765237504908376
2022-12,-0.3112945925769783,-1.1717573881390833,-0.0840652324895253,-0.8909558380167807,1.0400540657260657,-0.059705017621411616
2023-01,0.6327730916240686,0.6991567321720141,0.5370229335759342,-1.004501798504443,0.6297314236269129,0.07796567743029659
2023-02,0.08159393323594906,-0.2876654753107246,-0.6255699273079764,-0.8419104269047062,0.09570206980990692,-0.42447428059539943
2023-03,-0.5661284126770217,0.3349951731463344,0.4048628535964165,-0.8213371173745952,-0.11561247341596603,0.4025162972479171
2023-04,0.13712328969595947,0.2453515306064874,0.5400756761355396,-0.5051994763047415,-0.41030047233887523,0.7817430353723958
2023-05,-1.1985231346534786,3.586616819757428,0.060073544822308006,-0.3568204375675916,-1.3480738091810391,0.41921018749444405
2023-06,-1.3798899717643387,0.26857941960126086,-0.7554921620440685,0.23078234648200555,-1.4586404819942498,-0.6321555407225002
2023-07,-1.0553161685461494,0.1163406844641224,0.3142838100479355,-0.3907989399281458,-2.1610263986447777,0.03717771316376887
2023-08,-1.7560799746793254,0.5071192593725531,1.0336251984475409,-0.7459989591893611,-2.061988806032826,1.2621100677517938
2023-09,-0.9870118991254747,-0.3368575079038283,0.35256174037657945,-0.6315966590740837,-1.8709365374638356,-0.14887102949621087
2023-10,-0.21942300473974388,0.567893157219168,-0.033859763866264436,-0.7645516475551032,-1.3708255131297513,-0.5068297483859764
2023-11,-0.27471208240789363,0.34604729076126195,-0.10963965396300465,-0.11311922661470712,-1.1842990757233296,-0.4327555419193112
2023-12,0.47262486414904964,-0.2803157110199016,-0.7085811127164301,-1.0677596686525443,0.10276588001435565,-0.5796463738732627
2024-01,-0.667157459269669,-0.3768704601799366,-0.5659717179625692,-0.7781204433903809,0.19964960700270554,-0.0028275888173926087
2024-02,-0.6825469029586158,0.2275598394900033,0.9743868398358273,-0.31956792454097754,-0.08197076272278418,0.8154334874476638
2024-03,-0.5905682678202563,-0.2045874983569395,0.3071018369094386,-0.6563275422672971,-0.8333300744191091,0.5884995600091844
2024-04,-0.652202738595344,0.7167302553599835,0.03047901633297434,-0.8242735917778137,-0.7357595467242196,0.28872447092976805
2024-05,-0.12849965055554877,-0.9197191477909864,0.2013434971173267,-0.9328230176387987,-0.5995201252219183,0.16115491014230335
2024-06,-0.5331010979872067,-0.019193834723981867,-0.2437976500185893,-0.5939828039584643,-0.5079078757674127,-0.30932933569326554
2024-07,-0.8481864496616868,-0.24678818540732683,-0.6384925014903908,-0.39877689220431023,-0.8462989837466832,-0.4312753499499189
2024-08,-1.1121646550804536,0.4893165221692547,0.0797972899162876,-0.5214348029700958,-1.0179955923582646,0.07847350843140544
2024-09,2.2440072418087635,0.045216878269927846,-0.2675780532747825,8.856766492597503,0.8278847958335004,-0.47034640991291915
2024-10,-0.09865550074313846,0.2516438349171358,0.3553427975702457,4.43782241565475,0.8510792132176989,0.029118142328727226
2024-11,-1.036013874252999,0.30452137899249965,-0.40245474882498444,3.6629402392562387,0.8832468884194672,-0.3990563215576599
2024-12,-0.29412345029148584,0.3590568852217182,0.6242226089080773,0.9035128247553702,-0.5108013597500473,0.3531748974339049
2025-01,1.2046832872141076,0.2501704775551954,-0.27540197390986143,0.6370583137336093,-0.3057415850555077,-0.8498881774653361
2025-02,-0.23605853559096923,-0.03928124459796603,-0.3441061070968723,0.5580999063733486,-0.32235841544753513,-0.33572118707202403
2025-03,-0.994872542084122,-0.6915931744131956,0.16515742422651408,-0.21868147705755903,-0.17275289275833972,0.5718797679480828
2025-04,0.3439487094179481,0.44017849461495046,-0.5315755727815519,0.1997113257820344,-0.19281059639387096,-0.568859525634286
2025-05,2.4427769136087356,-0.4800440288398745,-0.7023828741026263,0.3629519116682029,0.8891327991038791,-0.8635752898980479
2025-06,-1.0138024879412524,-0.2684084291440714,-0.21779249312312204,0.3647936446098387,1.177818455401848,0.2550302990394649
2025-07,-0.30725061172000345,0.3990354480397648,0.04978995380477769,0.25292758167715795,1.108079613465166,0.9138573323507085
2025-08,-0.8828058086029661,-0.01445022397037525,-0.7754607988809832,-0.38618661907027835,-0.3897830630046248,-0.20470249288720846
2025-09,0.6227577833409161,-0.18578602981381842,-0.6144321793845626,0.36194548042573277,0.3333179720745733,-0.9582577847825317
2025-10,-0.2893860851911783,0.36460588504961383,-1.739990344007043,0.6344488891433805,0.26730010927543596,-1.3190312540118263
2025-11,-0.6159317240428136,0.7934444914863004,0.15862710578231665,0.21854902002220722,0.22799811472566292,0.9393764329724036
2025-12,0.6576704834449584,-0.23408978163389849,-0.3620623896877534,0.46798560813932105,-0.06808204380763441,-0.0020828930725032
2026-01,-0.9866782696495123,-0.1700880325664419,-0.8992411253379409,0.330255229232106,-0.21142307167890417,-0.6949711314732498
2026-02,-1.7354361804686007,0.6914770836429075,-0.3586737837159517,0.4719452641125026,-0.7614683068729877,0.7099917281404925
2026-03,0.49250830482178776,1.268308034378956,0.6078532160846393,0.20678811769452796,-0.7333865556365297,1.474648813376999
2026-04,3.0346916211694572,0.6827045001563696,0.10522080547434631,0.8655063383929863,1.2233952032872262,0.05901426515551481
2026-05,1.466911124839388,0.2225857702932802,-1.2028970720701946,0.3157053026801408,1.4211351671307269,-0.7034568742507802
2026-06,0.47167528324993696,2.4774547515583016,0.021239168063839797,0.09466622165521961,1.2154518476957137,0.9431695510162014
2026-07,0.8948471216628399,1.038330258781929,-0.9204957289552858,0.16985155302779928,0.3151864690542678,-0.31686894238555946
